               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.066413,             0.99419,              1.1374,              0.6666,             0.55493,             0.61841,             0.61746,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                 127,            0.065984,              0.9593,              1.1311,              0.5806,             0.57853,             0.61903,             0.61799,                   0,                   0,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,            0.066515,              1.0084,              1.1257,             0.68043,             0.52728,             0.61608,             0.61608,                   0,                   0,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,            0.067959,             0.97574,               1.127,              0.7375,             0.48167,             0.57888,             0.57713,                   0,                   0,                   0,           0.0074656,           0.0074656,           0.0074656
                 130,            0.069767,             0.96427,              1.1313,             0.70103,             0.48937,             0.59059,             0.59059,                   0,                   0,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,            0.066145,              0.9509,              1.1329,             0.56243,             0.60639,             0.62191,             0.62191,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                 132,            0.069067,             0.96179,              1.1378,             0.65904,             0.54601,             0.60866,             0.60801,                   0,                   0,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,            0.071884,             0.99506,              1.1329,             0.60847,             0.58532,             0.62242,              0.6224,                   0,                   0,                   0,           0.0073864,           0.0073864,           0.0073864
                 134,            0.067548,             0.96105,              1.1292,             0.57643,             0.57054,             0.60834,             0.60834,                   0,                   0,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,            0.068349,              0.9122,              1.1388,             0.53366,             0.56648,             0.62858,             0.62858,                   0,                   0,                   0,           0.0073468,           0.0073468,           0.0073468
                 136,            0.078203,             0.93009,                1.13,             0.72368,             0.51082,             0.62177,             0.62177,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                 137,             0.06902,             0.88916,              1.1335,             0.63058,             0.53158,             0.60084,             0.60084,                   0,                   0,                   0,           0.0073072,           0.0073072,           0.0073072
                 138,            0.069112,             0.90433,              1.1297,              0.4843,             0.61282,             0.62829,             0.62829,                   0,                   0,                   0,           0.0072874,           0.0072874,           0.0072874
                 139,            0.070408,             0.85485,              1.1331,             0.62767,             0.56813,             0.61251,             0.61251,                   0,                   0,                   0,           0.0072676,           0.0072676,           0.0072676
                 140,            0.065548,             0.86065,              1.1324,             0.66964,             0.56567,             0.61333,             0.61296,                   0,                   0,                   0,           0.0072478,           0.0072478,           0.0072478
                 141,            0.065504,             0.88061,              1.1356,             0.60467,             0.57146,             0.62615,             0.62615,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                 142,            0.069923,              0.8583,              1.1308,             0.63739,               0.517,             0.62958,             0.62953,                   0,                   0,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,            0.064229,             0.83663,              1.1348,             0.59921,              0.6157,             0.62643,             0.62276,                   0,                   0,                   0,           0.0071884,           0.0071884,           0.0071884
                 144,            0.067284,             0.81116,              1.1312,             0.50807,             0.65827,               0.654,               0.654,                   0,                   0,                   0,           0.0071686,           0.0071686,           0.0071686
                 145,            0.065067,             0.85048,              1.1322,             0.74264,             0.54339,             0.64977,             0.64918,                   0,                   0,                   0,           0.0071488,           0.0071488,           0.0071488
                 146,            0.066156,             0.84114,              1.1275,             0.58701,             0.61046,             0.66723,             0.66603,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                 147,            0.065285,             0.82917,              1.1299,             0.78694,             0.54361,             0.68472,             0.68418,                   0,                   0,                   0,           0.0071092,           0.0071092,           0.0071092
                 148,            0.067585,             0.83715,              1.1268,             0.64605,             0.62822,             0.65705,             0.65668,                   0,                   0,                   0,           0.0070894,           0.0070894,           0.0070894
                 149,            0.063985,             0.79523,              1.1357,              0.6473,             0.55256,             0.61911,             0.61816,                   0,                   0,                   0,           0.0070696,           0.0070696,           0.0070696
                 150,            0.067478,              0.8001,              1.1306,             0.68049,             0.55552,             0.63626,             0.63483,                   0,                   0,                   0,           0.0070498,           0.0070498,           0.0070498
                 151,            0.066984,             0.80619,              1.1299,             0.64009,              0.5996,             0.64878,             0.64709,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                 152,            0.066444,             0.82197,              1.1337,             0.78795,             0.53916,             0.65088,             0.64964,                   0,                   0,                   0,           0.0070102,           0.0070102,           0.0070102
                 153,            0.067806,             0.74586,              1.1312,             0.68734,             0.57284,               0.653,             0.65129,                   0,                   0,                   0,           0.0069904,           0.0069904,           0.0069904
                 154,            0.067423,             0.77216,              1.1258,              0.6522,             0.56714,             0.63589,             0.63186,                   0,                   0,                   0,           0.0069706,           0.0069706,           0.0069706
                 155,            0.069619,             0.76635,              1.1281,             0.63584,             0.62851,             0.68365,             0.68365,                   0,                   0,                   0,           0.0069508,           0.0069508,           0.0069508
                 156,            0.069428,             0.77399,              1.1253,             0.65672,             0.58902,             0.66576,             0.66443,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                 157,            0.067117,             0.75915,              1.1289,             0.69608,             0.56319,             0.65905,             0.65905,                   0,                   0,                   0,           0.0069112,           0.0069112,           0.0069112
                 158,            0.064607,             0.76172,              1.1321,             0.65646,             0.56349,             0.64755,             0.64755,                   0,                   0,                   0,           0.0068914,           0.0068914,           0.0068914
                 159,            0.064142,             0.72407,               1.142,             0.57831,             0.60053,             0.64358,              0.6432,                   0,                   0,                   0,           0.0068716,           0.0068716,           0.0068716
                 160,            0.063722,             0.73162,              1.1329,             0.71593,             0.56467,             0.65017,             0.64937,                   0,                   0,                   0,           0.0068518,           0.0068518,           0.0068518
